off,def,cluster_k3,cluster_k4,cluster_k5,KMeans_Clase,Color_Cluster
1.32,1.54,1,1,1,1,azul
1.48,1.3,1,1,3,1,azul
1.55,1.28,1,1,3,1,azul
0.88,1.98,2,2,4,2,verde
0.69,1.47,1,0,4,0,rojo
1.02,1.65,1,0,1,0,rojo
1.26,0.96,1,1,3,1,azul
1.25,1.25,1,1,1,1,azul
1.66,1.18,0,1,3,1,azul
1.7,1.25,0,1,3,1,azul
0.39,1.86,2,2,0,2,verde
0.56,2.47,2,2,0,2,verde
2.39,0.7,0,3,2,3,amarillo
1.16,1.18,1,1,1,1,azul
1.59,2.01,1,0,1,0,rojo
2.63,0.67,0,3,2,3,amarillo
1.18,1.48,1,0,1,0,rojo
1.41,1.25,1,1,3,1,azul
1.16,1.46,1,0,1,0,rojo
1.42,1.88,1,0,1,0,rojo
0.71,2.05,2,2,4,2,verde
1.24,1.66,1,0,1,0,rojo
1.78,0.89,0,3,2,3,amarillo
1.14,1.96,2,0,4,0,rojo
2.05,0.77,0,3,2,3,amarillo
1.49,1.4,1,1,3,1,azul
1.75,1.19,0,1,3,1,azul
0.49,2.11,2,2,0,2,verde
1.23,1.0,1,1,3,1,azul
0.74,2.01,2,2,4,2,verde
1.9,1.12,0,3,2,3,amarillo
0.37,2.51,2,2,0,2,verde
1.72,0.94,0,3,3,3,amarillo
1.38,1.02,1,1,3,1,azul
1.05,2.03,2,0,4,0,rojo
1.24,1.73,1,0,1,0,rojo
0.91,1.22,1,0,1,0,rojo
1.44,1.24,1,1,3,1,azul
1.21,1.57,1,0,1,0,rojo
1.05,1.77,1,0,4,0,rojo
1.6,1.28,0,1,3,1,azul
2.1,1.21,0,3,2,3,amarillo
1.35,1.57,1,1,1,1,azul
2.26,0.67,0,3,2,3,amarillo
1.2,1.33,1,1,1,1,azul
0.72,1.72,2,0,4,0,rojo
0.41,2.21,2,2,0,2,verde
0.43,2.11,2,2,0,2,verde
1.4,1.52,1,1,1,1,azul
1.82,1.28,0,1,3,1,azul
1.09,1.38,1,0,1,0,rojo
0.89,1.42,1,0,1,0,rojo
0.61,1.83,2,2,4,2,verde
0.7,1.15,1,0,1,0,rojo
1.44,1.53,1,1,1,1,azul
0.2,2.06,2,2,0,2,verde
1.34,1.35,1,1,1,1,azul
0.75,1.53,1,0,4,0,rojo
1.12,1.41,1,0,1,0,rojo
1.11,1.27,1,1,1,1,azul
0.58,2.29,2,2,0,2,verde
1.53,0.82,0,1,3,1,azul
1.14,1.76,1,0,1,0,rojo
0.67,2.04,2,2,4,2,verde
0.69,1.84,2,2,4,2,verde
0.43,1.97,2,2,0,2,verde
1.64,1.19,0,1,3,1,azul
0.92,1.36,1,0,1,0,rojo
2.35,0.74,0,3,2,3,amarillo
1.33,1.91,1,0,1,0,rojo
1.1,1.45,1,0,1,0,rojo
0.75,1.98,2,2,4,2,verde
1.48,1.36,1,1,3,1,azul
0.54,1.57,2,0,4,0,rojo
1.26,1.04,1,1,3,1,azul
1.83,1.54,0,1,3,1,azul
1.77,1.21,0,1,3,1,azul
1.04,1.54,1,0,1,0,rojo
0.83,1.74,2,0,4,0,rojo
1.18,1.63,1,0,1,0,rojo
1.32,1.65,1,0,1,0,rojo
2.19,0.95,0,3,2,3,amarillo
0.84,1.7,2,0,4,0,rojo
0.77,1.77,2,0,4,0,rojo
0.2,2.35,2,2,0,2,verde
0.24,1.61,2,2,4,2,verde
0.97,0.87,1,1,1,1,azul
0.78,1.28,1,0,1,0,rojo
0.99,1.89,2,0,4,0,rojo
0.48,1.97,2,2,0,2,verde
1.17,1.61,1,0,1,0,rojo
1.96,1.17,0,3,2,3,amarillo
1.08,1.93,2,0,4,0,rojo
1.26,1.75,1,0,1,0,rojo
0.5,2.26,2,2,0,2,verde
0.85,1.98,2,2,4,2,verde
1.22,1.57,1,0,1,0,rojo
1.36,1.24,1,1,3,1,azul
0.36,2.47,2,2,0,2,verde
1.25,1.22,1,1,1,1,azul
1.78,1.25,0,1,3,1,azul
1.3,1.63,1,0,1,0,rojo
0.9,1.92,2,0,4,0,rojo
1.77,1.64,1,1,3,1,azul
0.92,1.29,1,0,1,0,rojo
0.83,1.63,1,0,4,0,rojo
1.83,1.06,0,3,3,3,amarillo
1.12,1.45,1,0,1,0,rojo
0.88,1.9,2,0,4,0,rojo
1.36,1.57,1,1,1,1,azul
1.17,1.41,1,0,1,0,rojo
0.3,2.35,2,2,0,2,verde
1.33,1.25,1,1,3,1,azul
1.13,1.4,1,0,1,0,rojo
1.13,1.03,1,1,3,1,azul
1.18,1.09,1,1,3,1,azul
0.79,1.81,2,0,4,0,rojo
